Country,Clicks,Impressions,CTR,Position
arg,0,1,0.0%,79.0
bel,0,1,0.0%,8.0
bgd,0,1,0.0%,50.0
bra,0,2,0.0%,30.5
can,0,4,0.0%,40.3
che,0,1,0.0%,10.0
chn,0,1,0.0%,9.0
cze,0,1,0.0%,8.0
deu,0,5,0.0%,22.8
dnk,0,1,0.0%,7.0
egy,0,1,0.0%,12.0
esp,0,2,0.0%,30.5
fra,0,1,0.0%,19.0
gbr,0,2,0.0%,37.0
hkg,0,1,0.0%,1.0
idn,0,1,0.0%,8.0
ind,0,3,0.0%,30.0
irn,0,2,0.0%,29.5
isr,0,2,0.0%,66.0
ita,0,3,0.0%,34.0
kor,0,4,0.0%,10.3
lva,0,1,0.0%,7.0
nld,0,1,0.0%,51.0
nor,0,1,0.0%,10.0
nzl,0,1,0.0%,9.0
pak,0,1,0.0%,61.0
per,0,1,0.0%,12.0
prt,0,3,0.0%,49.7
rus,0,2,0.0%,15.0
swe,0,1,0.0%,5.0
twn,0,1,0.0%,7.0
ury,0,1,0.0%,17.0
usa,0,123,0.0%,61.2
ven,0,1,0.0%,27.0
zaf,0,1,0.0%,28.0
